1784416996542,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784416999551,unidb-fair-bench-bench-1,63.78%,186.9MiB / 15.6GiB
1784416999551,unidb-fair-bench-postgres-1,0.00%,25.74MiB / 15.6GiB
1784417001653,unidb-fair-bench-bench-1,64.23%,187.8MiB / 15.6GiB
1784417001653,unidb-fair-bench-postgres-1,1.71%,25.77MiB / 15.6GiB
1784417004764,unidb-fair-bench-bench-1,61.16%,188.7MiB / 15.6GiB
1784417004764,unidb-fair-bench-postgres-1,1.47%,28.39MiB / 15.6GiB
1784417007861,unidb-fair-bench-bench-1,52.49%,189.7MiB / 15.6GiB
1784417007861,unidb-fair-bench-postgres-1,0.00%,26.03MiB / 15.6GiB
1784417010951,unidb-fair-bench-bench-1,62.69%,190.8MiB / 15.6GiB
1784417010951,unidb-fair-bench-postgres-1,1.67%,25.91MiB / 15.6GiB
1784417014045,unidb-fair-bench-bench-1,63.75%,192MiB / 15.6GiB
1784417014045,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417017135,unidb-fair-bench-bench-1,62.74%,193.4MiB / 15.6GiB
1784417017135,unidb-fair-bench-postgres-1,1.60%,26.36MiB / 15.6GiB
1784417020162,unidb-fair-bench-bench-1,63.41%,194.6MiB / 15.6GiB
1784417020162,unidb-fair-bench-postgres-1,1.61%,26.25MiB / 15.6GiB
1784417023255,unidb-fair-bench-bench-1,61.28%,195.6MiB / 15.6GiB
1784417023255,unidb-fair-bench-postgres-1,0.00%,25.86MiB / 15.6GiB
1784417026340,unidb-fair-bench-bench-1,60.93%,196.7MiB / 15.6GiB
1784417026340,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417029366,unidb-fair-bench-bench-1,65.53%,197.9MiB / 15.6GiB
1784417029366,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417032446,unidb-fair-bench-bench-1,72.29%,198.6MiB / 15.6GiB
1784417032446,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417035532,unidb-fair-bench-bench-1,50.55%,189.7MiB / 15.6GiB
1784417035532,unidb-fair-bench-postgres-1,1.62%,27.13MiB / 15.6GiB
1784417038549,unidb-fair-bench-bench-1,72.79%,190.6MiB / 15.6GiB
1784417038549,unidb-fair-bench-postgres-1,0.00%,25.95MiB / 15.6GiB
1784417041650,unidb-fair-bench-bench-1,72.92%,192.2MiB / 15.6GiB
1784417041650,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417044747,unidb-fair-bench-bench-1,69.49%,193.3MiB / 15.6GiB
1784417044747,unidb-fair-bench-postgres-1,0.00%,25.76MiB / 15.6GiB
1784417047851,unidb-fair-bench-bench-1,68.39%,194.4MiB / 15.6GiB
1784417047851,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417051013,unidb-fair-bench-bench-1,61.50%,195.1MiB / 15.6GiB
1784417051013,unidb-fair-bench-postgres-1,0.00%,26.01MiB / 15.6GiB
1784417054127,unidb-fair-bench-bench-1,60.23%,196.1MiB / 15.6GiB
1784417054127,unidb-fair-bench-postgres-1,0.25%,25.75MiB / 15.6GiB
1784417057220,unidb-fair-bench-bench-1,2.64%,196.8MiB / 15.6GiB
1784417057220,unidb-fair-bench-postgres-1,0.00%,26.11MiB / 15.6GiB
1784417060249,unidb-fair-bench-bench-1,5.37%,197MiB / 15.6GiB
1784417060249,unidb-fair-bench-postgres-1,0.00%,25.77MiB / 15.6GiB
1784417063377,unidb-fair-bench-bench-1,6.59%,197MiB / 15.6GiB
1784417063377,unidb-fair-bench-postgres-1,0.01%,25.8MiB / 15.6GiB
1784417066482,unidb-fair-bench-bench-1,32.39%,197.3MiB / 15.6GiB
1784417066482,unidb-fair-bench-postgres-1,1.68%,26.09MiB / 15.6GiB
1784417069507,unidb-fair-bench-bench-1,26.88%,197.9MiB / 15.6GiB
1784417069507,unidb-fair-bench-postgres-1,1.68%,26.21MiB / 15.6GiB
1784417072597,unidb-fair-bench-bench-1,59.85%,198.8MiB / 15.6GiB
1784417072597,unidb-fair-bench-postgres-1,0.00%,25.76MiB / 15.6GiB
1784417075695,unidb-fair-bench-bench-1,58.36%,199.8MiB / 15.6GiB
1784417075695,unidb-fair-bench-postgres-1,0.00%,25.77MiB / 15.6GiB
1784417078707,unidb-fair-bench-bench-1,61.19%,200.4MiB / 15.6GiB
1784417078707,unidb-fair-bench-postgres-1,1.62%,26.02MiB / 15.6GiB
1784417081899,unidb-fair-bench-bench-1,61.43%,201.5MiB / 15.6GiB
1784417081899,unidb-fair-bench-postgres-1,0.00%,25.76MiB / 15.6GiB
1784417084995,unidb-fair-bench-bench-1,62.88%,202.6MiB / 15.6GiB
1784417084995,unidb-fair-bench-postgres-1,1.82%,26.05MiB / 15.6GiB
1784417088100,unidb-fair-bench-bench-1,58.30%,203.9MiB / 15.6GiB
1784417088100,unidb-fair-bench-postgres-1,0.00%,25.74MiB / 15.6GiB
1784417091201,unidb-fair-bench-bench-1,11.20%,204.4MiB / 15.6GiB
1784417091201,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417094299,unidb-fair-bench-bench-1,62.18%,205.6MiB / 15.6GiB
1784417094299,unidb-fair-bench-postgres-1,1.70%,26.01MiB / 15.6GiB
